open,low,high,close,change_value,change_percent,date_gregorian,date_jalali
"1,120,600","1,120,300","1,141,700","1,141,300",20900,1.87%,2025/09/30,1404/07/08
"1,111,450","1,097,800","1,120,700","1,120,400",15200,1.38%,2025/09/29,1404/07/07
"1,103,100","1,095,800","1,105,200","1,105,200",4000,0.36%,2025/09/28,1404/07/06
"1,084,150","1,082,800","1,122,200","1,101,200",18300,1.69%,2025/09/27,1404/07/05
"1,072,850","1,072,300","1,085,700","1,082,900",10850,1.01%,2025/09/25,1404/07/03
"1,047,200","1,047,200","1,075,700","1,072,050",37150,3.59%,2025/09/24,1404/07/02
"1,041,100","1,025,200","1,042,100","1,034,900",5100,0.49%,2025/09/23,1404/07/01
"1,063,100","1,037,200","1,063,100","1,040,000",18600,1.79%,2025/09/22,1404/06/31
"1,027,100","1,026,700","1,058,600","1,058,600",32500,3.17%,2025/09/21,1404/06/30
"1,006,100","1,005,700","1,033,100","1,026,100",37650,3.81%,2025/09/20,1404/06/29
"992,700","987,200","993,100","988,450",3900,0.39%,2025/09/18,1404/06/27
"996,000","1,000,000","999,950","992,350",4100,0.41%,2025/09/17,1404/06/26
"992,000","1,000,000","999,950","996,450",3900,0.39%,2025/09/16,1404/06/25
"981,000","980,700","998,100","992,550",12750,1.3%,2025/09/15,1404/06/24
"978,100","977,700","988,100","979,800",2950,0.3%,2025/09/14,1404/06/23
"992,000","975,700","992,100","976,850",16150,1.65%,2025/09/13,1404/06/22
"990,250","990,200","996,600","993,000",15300,1.54%,2025/09/11,1404/06/20
"1,005,950","1,000,000","999,950","1,008,300",2700,0.27%,2025/09/09,1404/06/18
"1,025,700","1,010,700","1,026,600","1,011,000",15800,1.56%,2025/09/08,1404/06/17
"1,027,100","1,023,700","1,032,100","1,026,800",3000,0.29%,2025/09/07,1404/06/16
"1,012,100","1,011,700","1,034,100","1,029,800",15400,1.52%,2025/09/06,1404/06/15
"1,023,900","1,014,300","1,024,200","1,014,400",11300,1.11%,2025/09/04,1404/06/13
"1,032,700","1,023,800","1,032,700","1,025,700",6300,0.61%,2025/09/03,1404/06/12
"1,055,700","1,031,300","1,056,700","1,032,000",16300,1.58%,2025/09/02,1404/06/11
"1,024,900","1,024,300","1,049,200","1,048,300",22100,2.15%,2025/08/31,1404/06/09
"1,003,700","999,700","1,026,200","1,026,200",37200,3.76%,2025/08/30,1404/06/08
"1,000,000","999,500","1,002,000","989,000",11000,1.11%,2025/08/28,1404/06/06
"999,950","976,350","1,004,500","1,000,000",33500,3.47%,2025/08/27,1404/06/05
"959,100","958,700","967,100","966,500",8500,0.89%,2025/08/26,1404/06/04
"947,700","947,700","959,100","958,000",17000,1.81%,2025/08/25,1404/06/03
"935,600","933,700","942,100","941,000",9600,1.02%,2025/08/23,1404/06/01
"939,950","939,700","951,100","950,600",13100,1.4%,2025/08/21,1404/05/30
"934,400","934,200","940,100","937,500",4050,0.43%,2025/08/20,1404/05/29
"938,050","932,700","938,100","933,450",5050,0.54%,2025/08/19,1404/05/28
"934,250","934,200","938,600","938,500",5600,0.6%,2025/08/18,1404/05/27
"927,300","927,200","935,100","932,900",5300,0.57%,2025/08/17,1404/05/26
"933,050","927,200","934,100","927,600",9100,0.98%,2025/08/16,1404/05/25
"924,700","924,700","937,100","936,700",11800,1.28%,2025/08/13,1404/05/22
"930,500","924,200","930,600","924,900",7850,0.85%,2025/08/12,1404/05/21
"920,800","920,700","934,600","932,750",12750,1.39%,2025/08/11,1404/05/20
"917,600","915,300","921,600","920,000",1700,0.19%,2025/08/10,1404/05/19
"933,250","917,200","933,600","918,300",16200,1.76%,2025/08/09,1404/05/18
"929,050","928,700","935,100","934,500",4900,0.53%,2025/08/06,1404/05/15
"933,050","928,200","935,050","929,600",4500,0.48%,2025/08/05,1404/05/14
"937,500","931,200","949,100","934,100",3900,0.42%,2025/08/04,1404/05/13
"924,300","923,700","938,100","938,000",14000,1.52%,2025/08/03,1404/05/12
"912,450","912,200","927,600","924,000",12200,1.34%,2025/08/02,1404/05/11
"905,400","904,700","912,600","911,800",6200,0.68%,2025/08/01,1404/05/10
"896,100","895,700","908,850","905,600",9600,1.07%,2025/07/30,1404/05/08
"892,100","891,800","896,100","896,000",3500,0.39%,2025/07/29,1404/05/07
"892,350","891,700","895,600","892,500",450,0.05%,2025/07/28,1404/05/06
"881,500","881,200","893,600","892,050",12050,1.37%,2025/07/27,1404/05/05
"880,800","876,700","881,100","880,000",500,0.06%,2025/07/26,1404/05/04
"884,000","879,200","889,600","880,500",3900,0.44%,2025/07/25,1404/05/03
"880,900","880,100","884,500","884,400",4500,0.51%,2025/07/23,1404/05/01
"882,200","879,600","883,000","879,900",1200,0.14%,2025/07/22,1404/04/31
"879,400","879,100","887,000","881,100",2150,0.24%,2025/07/21,1404/04/30
"868,000","867,600","882,500","878,950",11350,1.31%,2025/07/20,1404/04/29
"874,800","867,600","876,500","867,600",8000,0.92%,2025/07/19,1404/04/28
"887,000","875,400","887,000","875,600",11800,1.35%,2025/07/18,1404/04/27
"888,500","885,100","888,500","887,400",1000,0.11%,2025/07/16,1404/04/25
"886,200","886,100","889,500","888,400",3500,0.4%,2025/07/15,1404/04/24
"891,000","890,900","901,000","894,200",5200,0.58%,2025/07/14,1404/04/23
"871,600","871,600","891,400","889,000",18100,2.08%,2025/07/12,1404/04/21
"880,150","869,600","880,500","870,900",11950,1.37%,2025/07/11,1404/04/20
"878,500","876,700","883,000","882,850",4550,0.52%,2025/07/09,1404/04/18
"870,700","870,700","882,000","878,300",7900,0.91%,2025/07/08,1404/04/17
"883,500","864,600","883,500","870,400",13300,1.53%,2025/07/07,1404/04/16
"906,500","883,700","906,500","883,700",32300,3.66%,2025/07/06,1404/04/15
"915,800","913,600","924,500","916,000",2100,0.23%,2025/07/02,1404/04/11
"917,400","902,100","917,400","913,900",3300,0.36%,2025/07/01,1404/04/10
"918,450","917,200","928,000","917,200",10250,1.13%,2025/06/30,1404/04/09
"881,800","881,600","910,000","906,950",25750,2.92%,2025/06/29,1404/04/08
"846,400","846,100","883,500","881,200",35500,4.2%,2025/06/28,1404/04/07
"835,900","835,600","847,000","845,700",8900,1.06%,2025/06/27,1404/04/06
"829,900","829,600","840,000","836,800",8100,0.98%,2025/06/25,1404/04/04
"828,600","828,600","828,900","828,700",6650,0.8%,2025/06/24,1404/04/03
"829,000","828,600","836,000","835,350",7950,0.96%,2025/06/11,1404/03/21
"819,400","819,150","827,500","827,400",8300,1.01%,2025/06/10,1404/03/20
"824,650","819,100","825,000","819,100",5850,0.71%,2025/06/09,1404/03/19
"823,450","823,100","826,000","824,950",2100,0.26%,2025/06/08,1404/03/18
"818,500","818,100","823,000","822,850",2150,0.26%,2025/06/07,1404/03/17
"835,500","820,600","835,500","820,700",3150,0.38%,2025/06/06,1404/03/16
"825,750","823,100","827,000","823,850",200,0.02%,2025/06/02,1404/03/12
"821,250","815,600","824,000","823,650",1150,0.14%,2025/06/01,1404/03/11
"825,350","821,100","826,000","822,500",4900,0.6%,2025/05/31,1404/03/10
"827,700","825,700","830,500","827,400",4700,0.57%,2025/05/30,1404/03/09
"824,450","821,100","824,500","822,700",4150,0.5%,2025/05/28,1404/03/07
"828,500","826,600","829,000","826,850",1450,0.18%,2025/05/27,1404/03/06
"822,150","822,100","828,500","828,300",5800,0.71%,2025/05/26,1404/03/05
"823,950","813,750","824,000","822,500",1000,0.12%,2025/05/25,1404/03/04
"828,200","823,100","828,500","823,500",5650,0.69%,2025/05/24,1404/03/03
"832,500","828,100","834,500","829,150",2050,0.25%,2025/05/23,1404/03/02
"824,600","822,100","828,000","827,100",4800,0.58%,2025/05/21,1404/02/31
"841,400","831,600","852,950","831,900",8750,1.05%,2025/05/20,1404/02/30
"817,900","817,600","859,000","840,650",22100,2.7%,2025/05/19,1404/02/29
"817,400","817,100","826,000","818,550",550,0.07%,2025/05/18,1404/02/28
"822,750","812,650","827,000","818,000",5350,0.65%,2025/05/17,1404/02/27
"829,700","823,100","834,500","823,350",7750,0.94%,2025/05/16,1404/02/26
"831,650","829,100","832,500","831,100",1000,0.12%,2025/05/14,1404/02/24
"835,600","831,600","837,000","832,100",2900,0.35%,2025/05/13,1404/02/23
"835,900","832,600","839,000","835,000",100,0.01%,2025/05/12,1404/02/22
"831,000","830,600","839,000","834,900",2950,0.35%,2025/05/11,1404/02/21
"834,150","829,600","847,900","831,950",3550,0.43%,2025/05/10,1404/02/20
"819,650","819,600","836,000","835,500",4900,0.59%,2025/05/09,1404/02/19
"821,200","821,100","839,000","830,600",10100,1.23%,2025/05/07,1404/02/17
"823,400","816,100","831,000","820,500",4150,0.51%,2025/05/06,1404/02/16
"842,700","821,600","843,000","824,650",19750,2.39%,2025/05/05,1404/02/15
"862,400","839,600","862,500","844,400",14300,1.69%,2025/05/04,1404/02/14
"851,650","851,600","866,000","858,700",1800,0.21%,2025/05/03,1404/02/13
"850,200","850,100","869,000","856,900",37450,4.57%,2025/05/02,1404/02/12
"814,000","813,650","820,000","819,450",5550,0.68%,2025/04/30,1404/02/10
"808,850","808,600","816,000","813,900",4250,0.52%,2025/04/29,1404/02/09
"808,750","800,600","814,000","809,650",3000,0.37%,2025/04/28,1404/02/08
"832,650","811,600","833,000","812,650",14350,1.77%,2025/04/27,1404/02/07
"829,250","825,600","845,500","827,000",3400,0.41%,2025/04/26,1404/02/06
"795,650","795,100","828,000","823,600",14850,1.84%,2025/04/25,1404/02/05
"813,150","803,650","813,500","808,750",400,0.05%,2025/04/22,1404/02/02
"818,900","794,400","819,300","808,350",11400,1.41%,2025/04/21,1404/02/01
"831,050","817,400","842,200","819,750",8150,0.99%,2025/04/20,1404/01/31
"829,100","809,800","834,200","827,900",4000,0.48%,2025/04/19,1404/01/30
"849,650","831,800","864,200","831,900",24050,2.89%,2025/04/18,1404/01/29
"880,200","851,800","880,200","855,950",21050,2.46%,2025/04/16,1404/01/27
"880,200","869,050","889,200","877,000",2800,0.32%,2025/04/15,1404/01/26
"894,900","879,800","900,150","879,800",1000,0.11%,2025/04/14,1404/01/25
"850,150","849,800","898,200","880,800",20900,2.43%,2025/04/13,1404/01/24
"897,950","829,800","904,200","859,900",102250,11.89%,2025/04/12,1404/01/23
"994,200","954,800","994,200","962,150",46750,4.86%,2025/04/11,1404/01/22
"999,100","998,800","1,021,200","1,008,900",9200,0.92%,2025/04/09,1404/01/20
"998,800","998,300","1,006,700","999,700",1750,0.18%,2025/04/08,1404/01/19
"1,058,100","984,800","1,058,200","997,950",57600,5.77%,2025/04/07,1404/01/18
"1,045,350","1,045,300","1,057,700","1,055,550",10350,0.99%,2025/04/06,1404/01/17
"1,028,200","1,027,800","1,045,200","1,045,200",19550,1.91%,2025/04/05,1404/01/16
"1,032,900","1,025,300","1,032,900","1,025,650",2150,0.21%,2025/04/04,1404/01/15
"1,038,850","1,027,800","1,039,200","1,027,800",11150,1.08%,2025/03/29,1404/01/09
"1,036,950","1,036,800","1,042,200","1,038,950",17050,1.67%,2025/03/28,1404/01/08
"1,018,850","1,018,800","1,024,200","1,021,900",2700,0.26%,2025/03/26,1404/01/06
"1,018,900","1,006,800","1,022,200","1,019,200",1350,0.13%,2025/03/25,1404/01/05
"976,550","976,300","1,037,200","1,017,850",40050,4.1%,2025/03/24,1404/01/04
"973,900","967,800","982,200","977,800",34600,3.67%,2025/03/17,1403/12/27
"933,550","933,300","944,700","943,200",11900,1.28%,2025/03/16,1403/12/26
"912,900","912,800","931,700","931,300",19950,2.19%,2025/03/15,1403/12/25
"918,650","906,300","918,700","911,350",11700,1.28%,2025/03/14,1403/12/24
"926,650","922,400","929,700","923,050",3750,0.41%,2025/03/12,1403/12/22
"926,350","923,300","927,700","926,800",3950,0.43%,2025/03/11,1403/12/21
"924,000","922,300","929,200","922,850",1000,0.11%,2025/03/10,1403/12/20
"934,650","919,800","935,200","923,850",1750,0.19%,2025/03/09,1403/12/19
"912,450","912,300","923,700","922,100",9900,1.09%,2025/03/08,1403/12/18
"896,900","896,900","923,200","912,200",20500,2.3%,2025/03/07,1403/12/17
"883,850","882,300","896,700","891,700",6800,0.77%,2025/03/05,1403/12/15
"904,300","884,800","904,700","884,900",19900,2.25%,2025/03/04,1403/12/14
"907,400","904,800","911,700","904,800",2550,0.28%,2025/03/03,1403/12/13
"920,400","906,800","921,700","907,350",14950,1.65%,2025/03/02,1403/12/12
"921,150","914,800","927,700","922,300",700,0.08%,2025/03/01,1403/12/11
"922,300","916,800","925,200","921,600",3600,0.39%,2025/02/28,1403/12/10
"924,150","923,800","929,200","925,200",750,0.08%,2025/02/26,1403/12/08
"920,550","920,300","934,200","925,950",7650,0.83%,2025/02/25,1403/12/07
"913,200","906,800","919,700","918,300",5150,0.56%,2025/02/24,1403/12/06
"926,150","912,300","928,700","913,150",14250,1.56%,2025/02/23,1403/12/05
"930,850","922,300","933,700","927,400",8400,0.91%,2025/02/22,1403/12/04
"930,000","929,600","943,700","935,800",5100,0.55%,2025/02/21,1403/12/03
"921,350","921,300","932,700","930,700",9000,0.98%,2025/02/19,1403/12/01
"918,700","918,300","928,700","921,700",1750,0.19%,2025/02/18,1403/11/30
"908,600","908,300","920,200","919,950",11750,1.29%,2025/02/17,1403/11/29
"906,900","906,850","912,200","908,200",1150,0.13%,2025/02/16,1403/11/28
"907,350","896,800","912,200","907,050",900,0.1%,2025/02/15,1403/11/27
"903,550","902,300","909,700","906,150",15550,1.75%,2025/02/14,1403/11/26
"884,200","883,800","890,700","890,600",7100,0.8%,2025/02/12,1403/11/24
"885,700","874,300","885,700","883,500",2000,0.23%,2025/02/11,1403/11/23
"916,650","869,800","916,700","881,500",32150,3.65%,2025/02/10,1403/11/22
"888,400","888,300","913,700","913,650",24050,2.7%,2025/02/08,1403/11/20
"877,600","874,300","890,700","889,600",35000,4.1%,2025/02/07,1403/11/19
"851,800","851,800","855,700","854,600",1900,0.22%,2025/02/05,1403/11/17
"845,500","845,300","854,200","852,700",6750,0.8%,2025/02/04,1403/11/16
"838,200","837,800","846,200","845,950",7300,0.87%,2025/02/03,1403/11/15
"840,200","836,300","844,200","838,650",1850,0.22%,2025/02/02,1403/11/14
"838,950","838,600","845,200","840,500",2850,0.34%,2025/02/01,1403/11/13
"834,700","834,300","838,200","837,650",2550,0.31%,2025/01/31,1403/11/12
"832,100","830,600","835,700","835,100",2800,0.34%,2025/01/29,1403/11/10
"836,400","830,600","837,700","832,300",7000,0.84%,2025/01/28,1403/11/09
"837,400","835,300","841,200","839,300",500,0.06%,2025/01/26,1403/11/07
"835,850","835,300","839,700","838,800",4900,0.59%,2025/01/25,1403/11/06
"829,400","829,300","835,700","833,900",5150,0.62%,2025/01/24,1403/11/05
"824,800","824,800","839,200","839,050",13350,1.62%,2025/01/22,1403/11/03
"823,900","822,800","828,200","825,700",2350,0.29%,2025/01/21,1403/11/02
"808,800","808,800","823,700","823,350",13150,1.62%,2025/01/20,1403/11/01
"806,400","806,300","812,200","810,200",3500,0.43%,2025/01/19,1403/10/30
"806,350","806,300","809,200","806,700",1400,0.17%,2025/01/18,1403/10/29
"796,100","795,800","805,700","805,300",4600,0.57%,2025/01/17,1403/10/28
"803,350","799,300","803,700","800,700",4150,0.52%,2025/01/15,1403/10/26
"813,650","804,800","813,700","804,850",9750,1.21%,2025/01/14,1403/10/25
"806,400","806,300","816,200","814,600",7950,0.99%,2025/01/12,1403/10/23
"817,650","805,800","817,700","806,650",12850,1.59%,2025/01/11,1403/10/22
"818,300","818,300","821,200","819,500",5600,0.69%,2025/01/10,1403/10/21
"803,300","803,300","815,200","813,900",9800,1.22%,2025/01/08,1403/10/19
"799,000","797,800","806,200","804,100",3300,0.41%,2025/01/07,1403/10/18
"798,100","795,300","803,700","800,800",7350,0.93%,2025/01/06,1403/10/17
"794,200","789,800","794,200","793,450",2000,0.25%,2025/01/05,1403/10/16
"799,600","794,700","801,200","795,450",2900,0.36%,2025/01/04,1403/10/15
"799,600","792,300","799,700","798,350",8000,1%,2025/01/03,1403/10/14
"812,950","805,100","813,200","806,350",5950,0.74%,2025/01/01,1403/10/12
"813,200","810,100","814,700","812,300",750,0.09%,2024/12/31,1403/10/11
"816,300","807,300","816,700","813,050",150,0.02%,2024/12/30,1403/10/10
"796,350","794,850","813,200","813,200",16050,2.01%,2024/12/29,1403/10/09
"811,550","793,300","814,700","797,150",13450,1.69%,2024/12/28,1403/10/08
"799,350","799,350","811,200","810,600",16750,2.11%,2024/12/27,1403/10/07
"784,850","776,800","794,700","793,850",7900,1.01%,2024/12/25,1403/10/05
"785,200","777,800","787,700","785,950",650,0.08%,2024/12/24,1403/10/04
"779,700","779,300","787,700","786,600",7800,1%,2024/12/23,1403/10/03
"762,200","760,900","781,700","778,800",16000,2.1%,2024/12/22,1403/10/02
"761,600","753,300","763,100","762,800",400,0.05%,2024/12/21,1403/10/01
"766,900","761,800","768,700","762,400",5150,0.68%,2024/12/20,1403/09/30
"771,600","766,800","772,700","767,550",6100,0.79%,2024/12/18,1403/09/28
"767,200","766,800","775,700","773,650",7350,0.96%,2024/12/17,1403/09/27
"765,550","763,300","768,700","766,300",6800,0.9%,2024/12/16,1403/09/26
"745,950","745,800","759,700","759,500",12400,1.66%,2024/12/15,1403/09/25
"748,550","745,800","756,600","747,100",50,0.01%,2024/12/14,1403/09/24
"736,600","727,572","748,200","747,150",17550,2.41%,2024/12/13,1403/09/23
"732,450","727,800","734,700","729,600",2350,0.32%,2024/12/11,1403/09/21
"723,650","723,300","732,700","731,950",8750,1.21%,2024/12/10,1403/09/20
"718,800","718,800","724,200","723,200",4350,0.61%,2024/12/09,1403/09/19
"718,400","717,800","722,700","718,850",350,0.05%,2024/12/08,1403/09/18
"715,350","714,600","721,700","719,200",3600,0.5%,2024/12/07,1403/09/17
"712,650","711,500","716,200","715,600",800,0.11%,2024/12/06,1403/09/16
"712,200","710,800","715,200","714,800",3850,0.54%,2024/12/03,1403/09/13
"704,800","704,500","711,200","710,950",6800,0.97%,2024/12/02,1403/09/12
"699,550","699,400","707,200","704,150",5150,0.74%,2024/12/01,1403/09/11
"702,950","697,900","705,400","699,000",5000,0.72%,2024/11/30,1403/09/10
"704,950","699,800","709,200","704,000",2600,0.37%,2024/11/29,1403/09/09
"699,300","698,800","701,700","701,400",2350,0.34%,2024/11/27,1403/09/07
"695,750","695,600","699,700","699,050",3100,0.45%,2024/11/26,1403/09/06
"693,350","693,300","699,700","695,950",2250,0.32%,2024/11/25,1403/09/05
"687,400","679,800","694,700","693,700",4100,0.59%,2024/11/24,1403/09/04
"698,000","686,800","700,800","689,600",9450,1.37%,2024/11/23,1403/09/03
"697,400","697,200","703,300","699,050",6800,0.98%,2024/11/22,1403/09/02
"689,900","689,500","694,800","692,250",2950,0.43%,2024/11/20,1403/08/30
"690,250","688,700","695,300","689,300",250,0.04%,2024/11/19,1403/08/29
"683,850","682,700","689,800","689,050",4600,0.67%,2024/11/18,1403/08/28
"680,950","680,700","684,700","684,450",2700,0.4%,2024/11/17,1403/08/27
"682,200","681,250","688,800","681,750",650,0.1%,2024/11/16,1403/08/26
"683,750","680,200","685,800","682,400",900,0.13%,2024/11/15,1403/08/25
"682,300","677,700","683,800","683,300",1100,0.16%,2024/11/13,1403/08/23
"679,450","679,200","688,800","684,400",6200,0.91%,2024/11/12,1403/08/22
"668,800","668,700","681,300","678,200",9000,1.34%,2024/11/11,1403/08/21
"682,300","669,200","682,500","669,200",13450,2.01%,2024/11/10,1403/08/20
"691,800","682,200","692,800","682,650",9550,1.4%,2024/11/09,1403/08/19
"695,400","692,000","695,700","692,200",1750,0.25%,2024/11/08,1403/08/18
"696,100","686,700","696,300","690,450",5800,0.84%,2024/11/06,1403/08/16
"698,550","694,000","698,800","696,250",7350,1.07%,2024/11/05,1403/08/15
"689,400","683,200","689,800","688,900",700,0.1%,2024/11/04,1403/08/14
"694,200","686,700","694,300","689,600",3650,0.53%,2024/11/03,1403/08/13
"694,500","689,700","701,500","693,250",1550,0.22%,2024/11/02,1403/08/12
"683,650","683,200","695,300","694,800",12500,1.83%,2024/11/01,1403/08/11
"687,500","680,200","687,600","682,300",10100,1.48%,2024/10/30,1403/08/09
"683,750","680,200","697,800","692,400",8400,1.23%,2024/10/29,1403/08/08
"673,800","673,200","689,250","684,000",9200,1.36%,2024/10/28,1403/08/07
"660,550","660,200","674,800","674,800",13950,2.11%,2024/10/27,1403/08/06
"654,700","654,350","667,300","660,850",5550,0.85%,2024/10/26,1403/08/05
"658,950","652,800","679,000","655,300",24200,3.69%,2024/10/25,1403/08/04
"676,750","674,900","685,300","679,500",2200,0.32%,2024/10/23,1403/08/02
"663,150","663,000","684,800","677,300",15800,2.39%,2024/10/22,1403/08/01
"648,850","648,350","661,600","661,500",12950,2%,2024/10/21,1403/07/30
"642,050","641,600","648,600","648,550",6600,1.03%,2024/10/20,1403/07/29
"637,950","637,900","645,950","641,950",2350,0.37%,2024/10/19,1403/07/28
"633,850","633,600","640,000","639,600",3000,0.47%,2024/10/18,1403/07/27
"633,500","633,300","638,800","636,600",3250,0.51%,2024/10/16,1403/07/25
"626,850","626,800","638,200","633,350",5700,0.91%,2024/10/15,1403/07/24
"630,350","626,100","630,800","627,650",3850,0.61%,2024/10/14,1403/07/23
"628,050","628,000","634,800","631,500",3050,0.49%,2024/10/13,1403/07/22
"624,750","624,700","630,600","628,450",3500,0.56%,2024/10/12,1403/07/21
"631,100","624,700","631,300","624,950",10550,1.69%,2024/10/11,1403/07/20
"628,900","628,700","636,300","635,500",6150,0.98%,2024/10/09,1403/07/18
"624,800","624,200","629,800","629,350",3900,0.62%,2024/10/08,1403/07/17
"627,650","625,000","628,300","625,450",3000,0.48%,2024/10/07,1403/07/16
"634,600","626,700","634,800","628,450",6100,0.97%,2024/10/06,1403/07/15
"624,350","624,200","634,800","634,550",10650,1.71%,2024/10/05,1403/07/14
"615,850","614,300","624,800","623,900",3000,0.48%,2024/10/04,1403/07/13
"621,300","620,900","631,300","626,900",4350,0.7%,2024/10/02,1403/07/11
"619,850","611,700","622,800","622,550",7600,1.24%,2024/10/01,1403/07/10
"605,800","605,200","615,400","614,950",11200,1.86%,2024/09/30,1403/07/09
"606,200","602,200","606,600","603,750",2350,0.39%,2024/09/29,1403/07/08
"609,450","601,300","609,700","606,100",900,0.15%,2024/09/28,1403/07/07
"598,050","597,800","615,300","607,000",6700,1.12%,2024/09/27,1403/07/06
"602,500","599,300","604,800","600,300",3150,0.53%,2024/09/25,1403/07/04
"603,150","596,500","603,400","597,150",7700,1.29%,2024/09/24,1403/07/03
"598,400","598,200","606,500","604,850",7050,1.18%,2024/09/23,1403/07/02
"595,250","593,800","597,800","597,800",2300,0.39%,2024/09/22,1403/07/01
"592,500","590,900","595,800","595,500",3200,0.54%,2024/09/21,1403/06/31
"591,450","590,500","592,500","592,300",50,0.01%,2024/09/18,1403/06/28
"595,100","592,200","597,550","592,350",2800,0.47%,2024/09/17,1403/06/27
"591,900","590,800","596,200","595,150",4150,0.7%,2024/09/16,1403/06/26
"591,050","588,500","593,800","591,000",600,0.1%,2024/09/15,1403/06/25
"594,250","589,200","594,700","590,400",3500,0.59%,2024/09/14,1403/06/24
"594,900","593,200","596,100","593,900",3600,0.61%,2024/09/13,1403/06/23
"596,000","594,900","598,300","597,500",1350,0.23%,2024/09/10,1403/06/20
