sub0,sub1,sub2,sub3,sub4,sub5,sub6,sub7,Indicator,Source,Time,Value,Unit,Details
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1970,148.22,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1971,168.53,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1972,192.97,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1973,207.33,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1974,219.36,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1975,218.64,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1976,258.57,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1977,251.40,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1978,219.11,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1979,192.77,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1980,151.14,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1981,142.53,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1982,175.55,Billion 2015 US$ ,Base Year 2015
GDP,GDP,nominal,constant price,,World Bank,,$,GDP nominal constant price ,World Bank,1983,195.01,Billion 2015 US$ ,Base Year 2015
